SampleID,SS,date,LandUse,Number,Position,Month,Area
ps-3-water-16-11-2021,ps,16-water-3,p,s,NA,water,ps
ps1-rock,ps1,NA-NA-rock,p,s,1,NA,ps
ps2-rock,ps2,NA-NA-rock,p,s,2,NA,ps
R1C-02-09-2021,R1C,2/9/21,R,1,C,9,R1
R1C-19-08-2021,R1C,19/08/2021,R,1,C,8,R1
R1N-02-09-2021,R1N,2/9/21,R,1,N,9,R1
R1N-19-08-2021,R1N,19/08/2021,R,1,N,8,R1
R1S-02-09-2021,R1S,2/9/21,R,1,S,9,R1
R1S-19-08-2021,R1S,19/08/2021,R,1,S,8,R1
R2C-02-09-2021,R2C,2/9/21,R,2,C,9,R2
R2C-19-08-2021,R2C,19/08/2021,R,2,C,8,R2
R2N-02-09-2021,R2N,2/9/21,R,2,N,9,R2
R2N-19-08-2021,R2N,19/08/2021,R,2,N,8,R2
R2S-02-09-2021,R2S,2/9/21,R,2,S,9,R2
R2S-19-08-2021,R2S,19/08/2021,R,2,S,8,R2
U1C-02-09-2021,U1C,2/9/21,U,1,C,9,U1
U1N-02-09-2021,U1N,2/9/21,U,1,N,9,U1
U2C-02-09-2021,U2C,2/9/21,U,2,C,9,U2
U2C-19-08-2021,U2C,19/08/2021,U,2,C,8,U2
U2N-02-09-2021,U2N,2/9/21,U,2,N,9,U2
U2N-19-08-2021,U2N,19/08/2021,U,2,N,8,U2
U2S-02-09-2021,U2S,2/9/21,U,2,S,9,U2
U2S-19-08-2021,U2S,19/08/2021,U,2,S,8,U2
